Feature Set,Feature Count,Model,Accuracy,Precision,Recall,F1 Score,Training Time Seconds,Selected Features,Removed Features
All Features,13,Logistic Regression,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.004135399998631328,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal",
All Features,13,KNN,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.0017177000117953867,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal",
All Features,13,Decision Tree,0.7704918032786885,0.7435897435897436,0.8787878787878788,0.8055555555555556,0.002242399990791455,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal",
All Features,13,Random Forest,0.7540983606557377,0.75,0.8181818181818182,0.782608695652174,0.11402760000783019,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal",
All Features,13,Neural Network,0.7377049180327869,0.7741935483870968,0.7272727272727273,0.75,8.717593899986241,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal",
Top 10 Features,10,Logistic Regression,0.7868852459016393,0.7941176470588235,0.8181818181818182,0.8059701492537313,0.0014970999909564853,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps"
Top 10 Features,10,KNN,0.7540983606557377,0.75,0.8181818181818182,0.782608695652174,0.001041999988956377,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps"
Top 10 Features,10,Decision Tree,0.8032786885245902,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.0013318999845068902,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps"
Top 10 Features,10,Random Forest,0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.06791380001232028,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps"
Top 10 Features,10,Neural Network,0.7213114754098361,0.7666666666666667,0.696969696969697,0.7301587301587301,8.048982300009811,"cp, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal","age, sex, trestbps"
Top 5 Features,5,Logistic Regression,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.0013273000076878816,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope"
Top 5 Features,5,KNN,0.7377049180327869,0.7741935483870968,0.7272727272727273,0.75,0.0013208999880589545,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope"
Top 5 Features,5,Decision Tree,0.8032786885245902,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.0012590000114869326,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope"
Top 5 Features,5,Random Forest,0.7540983606557377,0.7368421052631579,0.8484848484848485,0.7887323943661971,0.06062969999038614,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope"
Top 5 Features,5,Neural Network,0.819672131147541,0.8666666666666667,0.7878787878787878,0.8253968253968254,8.019117300020298,"cp, exang, oldpeak, ca, thal","age, sex, trestbps, chol, fbs, restecg, thalach, slope"
